2011-04-05 15:15:25.731786	T001	19.5
2011-04-05 15:15:26.238803	M006	ON
2011-04-05 15:15:26.520015	M006	OFF
2011-04-05 15:15:36.581282	P001	1378
2011-04-05 15:15:54.235888	M006	ON
2011-04-05 15:15:56.514843	M006	OFF
2011-04-05 15:16:18.897357	A001	2.857
2011-04-05 15:16:21.159777	M006	ON
2011-04-05 15:16:23.821718	A001	2.82153
2011-04-05 15:16:26.075243	M006	OFF
2011-04-05 15:16:28.5764	M006	ON
2011-04-05 15:16:30.843928	M006	OFF
2011-04-05 15:16:31.215244	M006	ON
2011-04-05 15:16:33.712357	M006	OFF
2011-04-05 15:16:38.583779	A001	2.84192
2011-04-05 15:16:47.027337	M006	ON
2011-04-05 15:16:52.340729	M006	OFF
2011-04-05 15:16:59.850601	M006	ON
2011-04-05 15:17:10.397035	M006	OFF
2011-04-05 15:17:13.160058	M006	ON
2011-04-05 15:17:18.875191	M006	OFF
2011-04-05 15:17:22.089267	M006	ON
2011-04-05 15:17:24.382799	M006	OFF
2011-04-05 15:17:37.322953	M006	ON
2011-04-05 15:17:39.383924	M006	OFF
2011-04-05 15:17:39.744318	M006	ON
2011-04-05 15:17:41.112023	M005	ON
2011-04-05 15:17:45.749448	M005	OFF
2011-04-05 15:17:49.917661	M003	ON
2011-04-05 15:17:57.107154	M003	OFF
2011-04-05 15:17:57.715378	M003	ON
2011-04-05 15:18:02.299018	M003	OFF
2011-04-05 15:18:04.655167	P001	1403
2011-04-05 15:18:05.068413	M003	ON
2011-04-05 15:18:09.53077	M003	OFF
2011-04-05 15:18:18.172998	M003	ON
2011-04-05 15:18:23.698592	M003	OFF
2011-04-05 15:18:24.541758	M003	ON
2011-04-05 15:18:26.096647	M006	OFF
2011-04-05 15:18:26.723257	P001	1418
2011-04-05 15:18:26.775274	P001	1407
2011-04-05 15:18:26.808375	P001	1384
2011-04-05 15:18:26.83073	M003	OFF
2011-04-05 15:18:27.103112	M006	ON
2011-04-05 15:18:32.704815	P001	1984
2011-04-05 15:18:33.143204	M003	ON
2011-04-05 15:18:38.69798	P001	1041
2011-04-05 15:18:39.64069	M002	ON
2011-04-05 15:18:43.986287	M003	OFF
2011-04-05 15:18:44.366407	M002	OFF
2011-04-05 15:18:44.497598	A001	2.81856
2011-04-05 15:18:45.241123	M002	ON
2011-04-05 15:18:45.601784	M006	OFF
2011-04-05 15:18:46.458738	M007	ON
2011-04-05 15:18:46.477732	M006	ON
