2011-07-09 15:32:59.871369	BATP204	96
2011-07-09 15:33:41.597517	M031	ON
2011-07-09 15:33:42.732193	M031	OFF
2011-07-09 15:34:26.262646	D001	OPEN
2011-07-09 15:34:27.772278	M024	ON
2011-07-09 15:34:28.439984	M021	ON
2011-07-09 15:34:30.058051	M022	ON
2011-07-09 15:34:31.38043	M023	ON
2011-07-09 15:34:31.49667	M001	ON
2011-07-09 15:34:31.766432	M024	OFF
2011-07-09 15:34:32.36666	M002	ON
2011-07-09 15:34:32.954637	M021	OFF
2011-07-09 15:34:33.339631	M022	OFF
2011-07-09 15:34:33.527349	M003	ON
2011-07-09 15:34:34.459698	M007	ON
2011-07-09 15:34:35.244347	M023	OFF
2011-07-09 15:34:35.606486	M002	OFF
2011-07-09 15:34:35.645297	M001	OFF
2011-07-09 15:34:36.093519	M003	OFF
2011-07-09 15:34:41.374168	M004	ON
2011-07-09 15:34:44.307328	M004	OFF
2011-07-09 15:34:45.332498	M009	ON
2011-07-09 15:34:45.499291	M008	ON
2011-07-09 15:34:45.868802	M003	ON
2011-07-09 15:34:46.203594	M004	ON
2011-07-09 15:34:46.485747	M015	ON
2011-07-09 15:34:46.88624	M016	ON
2011-07-09 15:34:47.012787	M003	OFF
2011-07-09 15:34:47.220482	M007	OFF
2011-07-09 15:34:47.406936	M004	OFF
2011-07-09 15:34:47.447331	M005	ON
2011-07-09 15:34:47.719138	M003	ON
2011-07-09 15:34:47.8816	M017	ON
2011-07-09 15:34:48.171806	M008	OFF
2011-07-09 15:34:48.299566	M009	OFF
2011-07-09 15:34:48.518193	M005	OFF
2011-07-09 15:34:48.889189	M015	OFF
2011-07-09 15:34:48.963485	M002	ON
2011-07-09 15:34:49.11146	SS010	STILL
2011-07-09 15:34:49.321799	M016	OFF
2011-07-09 15:34:50.220558	M017	OFF
2011-07-09 15:34:50.278547	M001	ON
2011-07-09 15:34:50.408513	M003	OFF
2011-07-09 15:34:50.628539	M023	ON
2011-07-09 15:34:51.260116	M017	ON
2011-07-09 15:34:52.421323	M002	OFF
2011-07-09 15:34:52.658348	M018	ON
2011-07-09 15:34:53.708311	M051	ON
2011-07-09 15:34:53.861514	SS011	MOVED
2011-07-09 15:34:53.870997	M002	ON
2011-07-09 15:34:54.322565	M017	OFF
2011-07-09 15:34:54.977368	M002	OFF
2011-07-09 15:34:55.236326	M003	ON
2011-07-09 15:34:55.537525	M023	OFF
2011-07-09 15:34:55.600831	M002	ON
2011-07-09 15:34:55.835664	M001	OFF
2011-07-09 15:34:56.380062	M006	ON
2011-07-09 15:34:56.525003	M017	ON
2011-07-09 15:34:56.61986	M004	ON
2011-07-09 15:34:56.697872	M005	ON
2011-07-09 15:34:56.775154	M051	OFF
